case_id,activity,timestamp,duration,resource
2001,Request Created,2024-01-15 07:00:00,3,System2
2001,Manager Approval,2024-01-15 07:30:00,45,System2
2001,Budget Check,2024-01-15 14:00:00,8,System2
2001,Procurement,2024-01-15 15:00:00,12,System2
2001,Delivery,2024-01-16 09:00:00,6,System2
2002,Request Created,2024-01-15 08:00:00,2,System2
2002,Manager Approval,2024-01-15 08:30:00,60,System2
2002,Budget Check,2024-01-16 08:00:00,10,System2
2002,Manager Approval,2024-01-16 10:00:00,30,System2
2002,Procurement,2024-01-16 14:00:00,15,System2
2002,Delivery,2024-01-17 10:00:00,8,System2
2003,Request Created,2024-01-16 09:00:00,2,System2
2003,Manager Approval,2024-01-16 09:30:00,20,System2
2003,Budget Check,2024-01-16 12:00:00,6,System2
2003,Procurement,2024-01-16 13:00:00,10,System2
2003,Delivery,2024-01-17 08:00:00,5,System2
